distance,energy density (meV/angstrom^3)
2.592134,2.712670264
2.612505,2.830270867
2.633099,3.029544937
2.653928,3.153452523
2.674995,3.104505772
2.696304,2.842831749
2.717854,2.437652197
2.739638,2.112993728
2.761639,2.061304426
2.783863,2.18269481
2.806278,2.427391496
2.828864,2.532496396
2.851596,2.379674487
2.874449,2.020242146
2.897395,1.660609363
2.920406,1.60433437
2.943258,1.76673937
2.965905,1.903517262
2.988325,1.813582937
3.010499,1.467848092
3.03241,0.995531352
3.054047,0.67707547
3.075414,0.590721705
3.096474,0.428335792
3.117227,0.190706092
3.137685,-0.002944488
3.157878,-0.047530881
3.177881,-0.048135343
3.197621,-0.048226691
3.217134,-0.048135343
3.236455,-0.048135343
3.255622,-0.048135343
3.274674,-0.048226691
3.293647,-0.048135343
3.312581,-0.048078972

