base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
GaN,La,0.167,v0,Ga,23,N,Ga-N,3,1.939374
GaN,La,0.167,v0,Ga,23,N,Ga-N,4,2.087453
GaN,La,0.167,v0,Ga,24,N,Ga-N,1,1.918012
GaN,La,0.167,v0,Ga,24,N,Ga-N,2,1.923529
GaN,La,0.167,v0,Ga,24,N,Ga-N,3,1.944208
GaN,La,0.167,v0,Ga,24,N,Ga-N,4,2.066438
GaN,La,0.167,v0,Ga,25,N,Ga-N,1,1.940155
GaN,La,0.167,v0,Ga,25,N,Ga-N,2,1.962736
GaN,La,0.167,v0,Ga,25,N,Ga-N,3,1.979179
GaN,La,0.167,v0,Ga,25,N,Ga-N,4,2.044499
GaN,La,0.167,v0,Ga,26,N,Ga-N,1,1.891476
GaN,La,0.167,v0,Ga,26,N,Ga-N,2,1.964754
GaN,La,0.167,v0,Ga,26,N,Ga-N,3,1.975344
GaN,La,0.167,v0,Ga,26,N,Ga-N,4,2.016334
GaN,La,0.167,v0,Ga,27,N,Ga-N,1,1.908403
GaN,La,0.167,v0,Ga,27,N,Ga-N,2,2.013061
GaN,La,0.167,v0,Ga,27,N,Ga-N,3,2.053511
GaN,La,0.167,v0,Ga,27,N,Ga-N,4,2.055536
GaN,La,0.167,v0,Ga,28,N,Ga-N,1,1.916032
GaN,La,0.167,v0,Ga,28,N,Ga-N,2,1.923929
GaN,La,0.167,v0,Ga,28,N,Ga-N,3,1.942349
GaN,La,0.167,v0,Ga,28,N,Ga-N,4,1.958914
GaN,La,0.167,v0,Ga,29,N,Ga-N,1,1.914835
GaN,La,0.167,v0,Ga,29,N,Ga-N,2,1.926201
GaN,La,0.167,v0,Ga,29,N,Ga-N,3,1.940563
GaN,La,0.167,v0,Ga,29,N,Ga-N,4,2.065895
GaN,La,0.167,v0,Ga,30,N,Ga-N,1,1.936604
GaN,La,0.167,v0,Ga,30,N,Ga-N,2,1.959729
GaN,La,0.167,v0,Ga,30,N,Ga-N,3,1.985575
GaN,La,0.167,v0,Ga,30,N,Ga-N,4,2.02294
GaN,La,0.167,v0,La,31,N,La-N,1,2.25718
GaN,La,0.167,v0,La,31,N,La-N,2,2.303478
GaN,La,0.167,v0,La,31,N,La-N,3,2.339674
GaN,La,0.167,v0,La,31,N,La-N,4,2.350952
GaN,La,0.167,v0,La,32,N,La-N,1,2.259639
GaN,La,0.167,v0,La,32,N,La-N,2,2.297245
GaN,La,0.167,v0,La,32,N,La-N,3,2.329612
GaN,La,0.167,v0,La,32,N,La-N,4,2.505797
GaN,La,0.167,v0,La,33,N,La-N,1,2.249162
GaN,La,0.167,v0,La,33,N,La-N,2,2.309683
GaN,La,0.167,v0,La,33,N,La-N,3,2.317229
GaN,La,0.167,v0,La,33,N,La-N,4,2.323976
GaN,La,0.167,v0,La,34,N,La-N,1,2.313331
GaN,La,0.167,v0,La,34,N,La-N,2,2.314979
GaN,La,0.167,v0,La,34,N,La-N,3,2.31541
GaN,La,0.167,v0,La,34,N,La-N,4,2.477598
GaN,La,0.167,v0,La,34,N,La-N,5,2.766882
GaN,La,0.167,v0,La,35,N,La-N,1,2.292722
GaN,La,0.167,v0,La,35,N,La-N,2,2.293687
GaN,La,0.167,v0,La,35,N,La-N,3,2.311621
GaN,La,0.167,v0,La,35,N,La-N,4,2.518059
GaN,La,0.167,v0,La,35,N,La-N,5,2.707805
GaN,La,0.167,v0,La,36,N,La-N,1,2.286831
GaN,La,0.167,v0,La,36,N,La-N,2,2.314818
GaN,La,0.167,v0,La,36,N,La-N,3,2.331017
GaN,La,0.167,v0,La,36,N,La-N,4,2.448119
GaN,La,0.167,v1,Ga,1,N,Ga-N,1,1.915872
GaN,La,0.167,v1,Ga,1,N,Ga-N,2,1.944746
GaN,La,0.167,v1,Ga,1,N,Ga-N,3,1.981901
GaN,La,0.167,v1,Ga,1,N,Ga-N,4,1.994077
GaN,La,0.167,v1,Ga,2,N,Ga-N,1,1.899499
GaN,La,0.167,v1,Ga,2,N,Ga-N,2,1.930267
GaN,La,0.167,v1,Ga,2,N,Ga-N,3,1.993827
GaN,La,0.167,v1,Ga,2,N,Ga-N,4,2.103476
GaN,La,0.167,v1,Ga,3,N,Ga-N,1,1.901416
GaN,La,0.167,v1,Ga,3,N,Ga-N,2,1.979872
GaN,La,0.167,v1,Ga,3,N,Ga-N,3,1.993615
GaN,La,0.167,v1,Ga,3,N,Ga-N,4,2.059601
GaN,La,0.167,v1,Ga,4,N,Ga-N,1,1.913094
GaN,La,0.167,v1,Ga,4,N,Ga-N,2,1.926587
GaN,La,0.167,v1,Ga,4,N,Ga-N,3,1.9596
GaN,La,0.167,v1,Ga,4,N,Ga-N,4,1.970216
GaN,La,0.167,v1,Ga,5,N,Ga-N,1,1.882102
GaN,La,0.167,v1,Ga,5,N,Ga-N,2,1.937944
GaN,La,0.167,v1,Ga,5,N,Ga-N,3,1.981655
GaN,La,0.167,v1,Ga,5,N,Ga-N,4,2.022497
GaN,La,0.167,v1,Ga,6,N,Ga-N,1,1.92871
GaN,La,0.167,v1,Ga,6,N,Ga-N,2,1.939763
GaN,La,0.167,v1,Ga,6,N,Ga-N,3,1.972622
GaN,La,0.167,v1,Ga,6,N,Ga-N,4,2.012052
GaN,La,0.167,v1,Ga,7,N,Ga-N,1,1.951871
GaN,La,0.167,v1,Ga,7,N,Ga-N,2,2.000779
GaN,La,0.167,v1,Ga,7,N,Ga-N,3,2.050136
GaN,La,0.167,v1,Ga,7,N,Ga-N,4,2.102287
GaN,La,0.167,v1,Ga,8,N,Ga-N,1,1.890967
GaN,La,0.167,v1,Ga,8,N,Ga-N,2,1.915906
GaN,La,0.167,v1,Ga,8,N,Ga-N,3,1.970071
GaN,La,0.167,v1,Ga,8,N,Ga-N,4,2.033462
GaN,La,0.167,v1,Ga,9,N,Ga-N,1,1.916345
GaN,La,0.167,v1,Ga,9,N,Ga-N,2,1.933904
GaN,La,0.167,v1,Ga,9,N,Ga-N,3,1.997092
GaN,La,0.167,v1,Ga,9,N,Ga-N,4,2.013775
GaN,La,0.167,v1,Ga,10,N,Ga-N,1,1.944396
GaN,La,0.167,v1,Ga,10,N,Ga-N,2,1.968177
GaN,La,0.167,v1,Ga,10,N,Ga-N,3,2.007822
GaN,La,0.167,v1,Ga,10,N,Ga-N,4,2.016074
GaN,La,0.167,v1,Ga,11,N,Ga-N,1,1.91485
GaN,La,0.167,v1,Ga,11,N,Ga-N,2,1.940012
GaN,La,0.167,v1,Ga,11,N,Ga-N,3,1.979615
GaN,La,0.167,v1,Ga,11,N,Ga-N,4,2.048056
GaN,La,0.167,v1,Ga,12,N,Ga-N,1,1.920465
GaN,La,0.167,v1,Ga,12,N,Ga-N,2,1.924408
GaN,La,0.167,v1,Ga,12,N,Ga-N,3,1.933879
GaN,La,0.167,v1,Ga,12,N,Ga-N,4,1.996354
