base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
InN,Sc,0.056,v3,In,24,4,94.44
InN,Sc,0.056,v3,In,25,4,94.44
InN,Sc,0.056,v3,In,26,4,94.44
InN,Sc,0.056,v3,In,27,4,94.44
InN,Sc,0.056,v3,In,28,4,94.44
InN,Sc,0.056,v3,In,29,4,94.44
InN,Sc,0.056,v3,In,30,4,94.44
InN,Sc,0.056,v3,In,31,4,94.44
InN,Sc,0.056,v3,In,32,4,94.44
InN,Sc,0.056,v3,In,33,4,94.44
InN,Sc,0.056,v3,In,34,4,94.44
InN,Sc,0.056,v3,Sc,35,4,5.56
InN,Sc,0.056,v3,Sc,36,4,5.56
InN,Sc,0.111,v1,In,1,4,88.89
InN,Sc,0.111,v1,In,2,4,88.89
InN,Sc,0.111,v1,In,3,4,88.89
InN,Sc,0.111,v1,In,4,4,88.89
InN,Sc,0.111,v1,In,5,4,88.89
InN,Sc,0.111,v1,In,6,4,88.89
InN,Sc,0.111,v1,In,7,4,88.89
InN,Sc,0.111,v1,In,8,4,88.89
InN,Sc,0.111,v1,In,9,4,88.89
InN,Sc,0.111,v1,In,10,4,88.89
InN,Sc,0.111,v1,In,11,4,88.89
InN,Sc,0.111,v1,In,12,4,88.89
InN,Sc,0.111,v1,In,13,4,88.89
InN,Sc,0.111,v1,In,14,4,88.89
InN,Sc,0.111,v1,In,15,4,88.89
InN,Sc,0.111,v1,In,16,4,88.89
InN,Sc,0.111,v1,In,17,4,88.89
InN,Sc,0.111,v1,In,18,4,88.89
InN,Sc,0.111,v1,In,19,4,88.89
InN,Sc,0.111,v1,In,20,4,88.89
InN,Sc,0.111,v1,In,21,4,88.89
InN,Sc,0.111,v1,In,22,4,88.89
InN,Sc,0.111,v1,In,23,4,88.89
InN,Sc,0.111,v1,In,24,4,88.89
InN,Sc,0.111,v1,In,25,4,88.89
InN,Sc,0.111,v1,In,26,4,88.89
InN,Sc,0.111,v1,In,27,4,88.89
InN,Sc,0.111,v1,In,28,4,88.89
InN,Sc,0.111,v1,In,29,4,88.89
InN,Sc,0.111,v1,In,30,4,88.89
InN,Sc,0.111,v1,In,31,4,88.89
InN,Sc,0.111,v1,In,32,4,88.89
InN,Sc,0.111,v1,Sc,33,4,11.11
InN,Sc,0.111,v1,Sc,34,4,11.11
InN,Sc,0.111,v1,Sc,35,4,11.11
InN,Sc,0.111,v1,Sc,36,4,11.11
InN,Sc,0.111,v2,In,1,4,88.89
InN,Sc,0.111,v2,In,2,4,88.89
InN,Sc,0.111,v2,In,3,4,88.89
InN,Sc,0.111,v2,In,4,4,88.89
InN,Sc,0.111,v2,In,5,4,88.89
InN,Sc,0.111,v2,In,6,4,88.89
InN,Sc,0.111,v2,In,7,4,88.89
InN,Sc,0.111,v2,In,8,4,88.89
InN,Sc,0.111,v2,In,9,4,88.89
