base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
InN,Sc,0.056,v0,In,14,N-In-N,3-4,108.4403
InN,Sc,0.056,v0,In,15,N-In-N,1-2,110.3977
InN,Sc,0.056,v0,In,15,N-In-N,1-3,110.3466
InN,Sc,0.056,v0,In,15,N-In-N,1-4,109.1032
InN,Sc,0.056,v0,In,15,N-In-N,2-3,110.5056
InN,Sc,0.056,v0,In,15,N-In-N,2-4,109.0352
InN,Sc,0.056,v0,In,15,N-In-N,3-4,107.3817
InN,Sc,0.056,v0,In,16,N-In-N,1-2,110.3755
InN,Sc,0.056,v0,In,16,N-In-N,1-3,107.3213
InN,Sc,0.056,v0,In,16,N-In-N,1-4,111.9217
InN,Sc,0.056,v0,In,16,N-In-N,2-3,107.5052
InN,Sc,0.056,v0,In,16,N-In-N,2-4,110.0597
InN,Sc,0.056,v0,In,16,N-In-N,3-4,109.5185
InN,Sc,0.056,v0,In,17,N-In-N,1-2,110.711
InN,Sc,0.056,v0,In,17,N-In-N,1-3,110.6443
InN,Sc,0.056,v0,In,17,N-In-N,1-4,108.0163
InN,Sc,0.056,v0,In,17,N-In-N,2-3,110.8355
InN,Sc,0.056,v0,In,17,N-In-N,2-4,108.0852
InN,Sc,0.056,v0,In,17,N-In-N,3-4,108.4403
InN,Sc,0.056,v0,In,18,N-In-N,1-2,110.7456
InN,Sc,0.056,v0,In,18,N-In-N,1-3,110.7455
InN,Sc,0.056,v0,In,18,N-In-N,1-4,108.1107
InN,Sc,0.056,v0,In,18,N-In-N,2-3,111.0022
InN,Sc,0.056,v0,In,18,N-In-N,2-4,108.0565
InN,Sc,0.056,v0,In,18,N-In-N,3-4,108.0562
InN,Sc,0.056,v0,In,19,N-In-N,1-2,110.6709
InN,Sc,0.056,v0,In,19,N-In-N,1-3,108.0751
InN,Sc,0.056,v0,In,19,N-In-N,1-4,112.1866
InN,Sc,0.056,v0,In,19,N-In-N,2-3,107.903
InN,Sc,0.056,v0,In,19,N-In-N,2-4,110.3605
InN,Sc,0.056,v0,In,19,N-In-N,3-4,107.4705
InN,Sc,0.056,v0,In,20,N-In-N,1-2,110.3754
InN,Sc,0.056,v0,In,20,N-In-N,1-3,107.3212
InN,Sc,0.056,v0,In,20,N-In-N,1-4,111.9218
InN,Sc,0.056,v0,In,20,N-In-N,2-3,107.5051
InN,Sc,0.056,v0,In,20,N-In-N,2-4,110.0598
InN,Sc,0.056,v0,In,20,N-In-N,3-4,109.5185
InN,Sc,0.056,v0,In,21,N-In-N,1-2,110.1835
InN,Sc,0.056,v0,In,21,N-In-N,1-3,109.8953
InN,Sc,0.056,v0,In,21,N-In-N,1-4,108.1747
InN,Sc,0.056,v0,In,21,N-In-N,2-3,109.8952
InN,Sc,0.056,v0,In,21,N-In-N,2-4,108.1746
InN,Sc,0.056,v0,In,21,N-In-N,3-4,110.4833
InN,Sc,0.056,v0,In,22,N-In-N,1-2,110.3979
InN,Sc,0.056,v0,In,22,N-In-N,1-3,110.3467
InN,Sc,0.056,v0,In,22,N-In-N,1-4,109.103
InN,Sc,0.056,v0,In,22,N-In-N,2-3,110.5056
InN,Sc,0.056,v0,In,22,N-In-N,2-4,109.035
InN,Sc,0.056,v0,In,22,N-In-N,3-4,107.3819
InN,Sc,0.056,v0,In,23,N-In-N,1-2,110.6709
InN,Sc,0.056,v0,In,23,N-In-N,1-3,108.0751
InN,Sc,0.056,v0,In,23,N-In-N,1-4,112.1864
InN,Sc,0.056,v0,In,23,N-In-N,2-3,107.9031
InN,Sc,0.056,v0,In,23,N-In-N,2-4,110.3605
InN,Sc,0.056,v0,In,23,N-In-N,3-4,107.4707
InN,Sc,0.056,v0,In,24,N-In-N,1-2,110.4591
InN,Sc,0.056,v0,In,24,N-In-N,1-3,108.064
InN,Sc,0.056,v0,In,24,N-In-N,1-4,112.2287
InN,Sc,0.056,v0,In,24,N-In-N,2-3,108.0931
InN,Sc,0.056,v0,In,24,N-In-N,2-4,110.4283
InN,Sc,0.056,v0,In,24,N-In-N,3-4,107.4036
InN,Sc,0.056,v0,In,25,N-In-N,1-2,110.5325
InN,Sc,0.056,v0,In,25,N-In-N,1-3,107.6123
InN,Sc,0.056,v0,In,25,N-In-N,1-4,110.2557
InN,Sc,0.056,v0,In,25,N-In-N,2-3,107.4806
InN,Sc,0.056,v0,In,25,N-In-N,2-4,110.5285
InN,Sc,0.056,v0,In,25,N-In-N,3-4,110.3512
InN,Sc,0.056,v0,In,26,N-In-N,1-2,110.0294
InN,Sc,0.056,v0,In,26,N-In-N,1-3,110.0901
InN,Sc,0.056,v0,In,26,N-In-N,1-4,109.6224
InN,Sc,0.056,v0,In,26,N-In-N,2-3,110.0901
InN,Sc,0.056,v0,In,26,N-In-N,2-4,109.6225
InN,Sc,0.056,v0,In,26,N-In-N,3-4,107.3428
InN,Sc,0.056,v0,In,27,N-In-N,1-2,110.0869
InN,Sc,0.056,v0,In,27,N-In-N,1-3,112.0105
InN,Sc,0.056,v0,In,27,N-In-N,1-4,108.8269
InN,Sc,0.056,v0,In,27,N-In-N,2-3,110.0333
InN,Sc,0.056,v0,In,27,N-In-N,2-4,109.2434
InN,Sc,0.056,v0,In,27,N-In-N,3-4,106.5396
InN,Sc,0.056,v0,In,28,N-In-N,1-2,110.4591
InN,Sc,0.056,v0,In,28,N-In-N,1-3,108.064
InN,Sc,0.056,v0,In,28,N-In-N,1-4,112.2286
InN,Sc,0.056,v0,In,28,N-In-N,2-3,108.0931
InN,Sc,0.056,v0,In,28,N-In-N,2-4,110.4285
InN,Sc,0.056,v0,In,28,N-In-N,3-4,107.4036
InN,Sc,0.056,v0,In,29,N-In-N,1-2,110.7624
InN,Sc,0.056,v0,In,29,N-In-N,1-3,110.7623
InN,Sc,0.056,v0,In,29,N-In-N,1-4,108.1573
InN,Sc,0.056,v0,In,29,N-In-N,2-3,110.8081
InN,Sc,0.056,v0,In,29,N-In-N,2-4,108.1177
InN,Sc,0.056,v0,In,29,N-In-N,3-4,108.1179
InN,Sc,0.056,v0,In,30,N-In-N,1-2,110.7709
InN,Sc,0.056,v0,In,30,N-In-N,1-3,110.9447
InN,Sc,0.056,v0,In,30,N-In-N,1-4,108.054
InN,Sc,0.056,v0,In,30,N-In-N,2-3,110.59
InN,Sc,0.056,v0,In,30,N-In-N,2-4,108.0935
InN,Sc,0.056,v0,In,30,N-In-N,3-4,108.2738
InN,Sc,0.056,v0,In,31,N-In-N,1-2,110.0869
InN,Sc,0.056,v0,In,31,N-In-N,1-3,112.0105
InN,Sc,0.056,v0,In,31,N-In-N,1-4,108.8269
InN,Sc,0.056,v0,In,31,N-In-N,2-3,110.0333
InN,Sc,0.056,v0,In,31,N-In-N,2-4,109.2433
InN,Sc,0.056,v0,In,31,N-In-N,3-4,106.5397
InN,Sc,0.056,v0,In,32,N-In-N,1-2,110.5325
InN,Sc,0.056,v0,In,32,N-In-N,1-3,107.6124
InN,Sc,0.056,v0,In,32,N-In-N,1-4,110.2557
InN,Sc,0.056,v0,In,32,N-In-N,2-3,107.4806
InN,Sc,0.056,v0,In,32,N-In-N,2-4,110.5284
InN,Sc,0.056,v0,In,32,N-In-N,3-4,110.3513
