base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
InN,Y,0.222,v0,In,27,4,77.78
InN,Y,0.222,v0,In,28,4,77.78
InN,Y,0.222,v0,Y,29,4,22.22
InN,Y,0.222,v0,Y,30,4,22.22
InN,Y,0.222,v0,Y,31,4,22.22
InN,Y,0.222,v0,Y,32,4,22.22
InN,Y,0.222,v0,Y,33,4,22.22
InN,Y,0.222,v0,Y,34,4,22.22
InN,Y,0.222,v0,Y,35,4,22.22
InN,Y,0.222,v0,Y,36,4,22.22
InN,Y,0.222,v1,In,1,4,77.78
InN,Y,0.222,v1,In,2,4,77.78
InN,Y,0.222,v1,In,3,4,77.78
InN,Y,0.222,v1,In,4,4,77.78
InN,Y,0.222,v1,In,5,4,77.78
InN,Y,0.222,v1,In,6,4,77.78
InN,Y,0.222,v1,In,7,4,77.78
InN,Y,0.222,v1,In,8,4,77.78
InN,Y,0.222,v1,In,9,4,77.78
InN,Y,0.222,v1,In,10,4,77.78
InN,Y,0.222,v1,In,11,4,77.78
InN,Y,0.222,v1,In,12,4,77.78
InN,Y,0.222,v1,In,13,4,77.78
InN,Y,0.222,v1,In,14,4,77.78
InN,Y,0.222,v1,In,15,4,77.78
InN,Y,0.222,v1,In,16,4,77.78
InN,Y,0.222,v1,In,17,4,77.78
InN,Y,0.222,v1,In,18,4,77.78
InN,Y,0.222,v1,In,19,4,77.78
InN,Y,0.222,v1,In,20,4,77.78
InN,Y,0.222,v1,In,21,4,77.78
InN,Y,0.222,v1,In,22,4,77.78
InN,Y,0.222,v1,In,23,4,77.78
InN,Y,0.222,v1,In,24,4,77.78
InN,Y,0.222,v1,In,25,4,77.78
InN,Y,0.222,v1,In,26,4,77.78
InN,Y,0.222,v1,In,27,4,77.78
InN,Y,0.222,v1,In,28,4,77.78
InN,Y,0.222,v1,Y,29,4,22.22
InN,Y,0.222,v1,Y,30,4,22.22
InN,Y,0.222,v1,Y,31,4,22.22
InN,Y,0.222,v1,Y,32,4,22.22
InN,Y,0.222,v1,Y,33,4,22.22
InN,Y,0.222,v1,Y,34,4,22.22
InN,Y,0.222,v1,Y,35,4,22.22
InN,Y,0.222,v1,Y,36,4,22.22
InN,Y,0.222,v2,In,1,4,77.78
InN,Y,0.222,v2,In,2,4,77.78
InN,Y,0.222,v2,In,3,4,77.78
InN,Y,0.222,v2,In,4,4,77.78
InN,Y,0.222,v2,In,5,4,77.78
InN,Y,0.222,v2,In,6,4,77.78
InN,Y,0.222,v2,In,7,4,77.78
InN,Y,0.222,v2,In,8,4,77.78
InN,Y,0.222,v2,In,9,4,77.78
InN,Y,0.222,v2,In,10,4,77.78
InN,Y,0.222,v2,In,11,4,77.78
InN,Y,0.222,v2,In,12,4,77.78
InN,Y,0.222,v2,In,13,4,77.78
InN,Y,0.222,v2,In,14,4,77.78
InN,Y,0.222,v2,In,15,4,77.78
InN,Y,0.222,v2,In,16,4,77.78
InN,Y,0.222,v2,In,17,4,77.78
InN,Y,0.222,v2,In,18,4,77.78
InN,Y,0.222,v2,In,19,4,77.78
InN,Y,0.222,v2,In,20,4,77.78
InN,Y,0.222,v2,In,21,4,77.78
InN,Y,0.222,v2,In,22,4,77.78
InN,Y,0.222,v2,In,23,4,77.78
InN,Y,0.222,v2,In,24,4,77.78
InN,Y,0.222,v2,In,25,4,77.78
InN,Y,0.222,v2,In,26,4,77.78
InN,Y,0.222,v2,In,27,4,77.78
InN,Y,0.222,v2,In,28,4,77.78
InN,Y,0.222,v2,Y,29,4,22.22
InN,Y,0.222,v2,Y,30,4,22.22
InN,Y,0.222,v2,Y,31,4,22.22
InN,Y,0.222,v2,Y,32,4,22.22
InN,Y,0.222,v2,Y,33,4,22.22
InN,Y,0.222,v2,Y,34,4,22.22
InN,Y,0.222,v2,Y,35,4,22.22
InN,Y,0.222,v2,Y,36,4,22.22
InN,Y,0.222,v3,In,1,4,77.78
InN,Y,0.222,v3,In,2,4,77.78
InN,Y,0.222,v3,In,3,4,77.78
InN,Y,0.222,v3,In,4,4,77.78
InN,Y,0.222,v3,In,5,4,77.78
InN,Y,0.222,v3,In,6,4,77.78
InN,Y,0.222,v3,In,7,4,77.78
InN,Y,0.222,v3,In,8,4,77.78
