base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
InN,Y,0.056,v0,In,23,N,In-N,4,2.169832
InN,Y,0.056,v0,In,24,N,In-N,1,2.145304
InN,Y,0.056,v0,In,24,N,In-N,2,2.14538
InN,Y,0.056,v0,In,24,N,In-N,3,2.167301
InN,Y,0.056,v0,In,24,N,In-N,4,2.167593
InN,Y,0.056,v0,In,25,N,In-N,1,2.15663
InN,Y,0.056,v0,In,25,N,In-N,2,2.159651
InN,Y,0.056,v0,In,25,N,In-N,3,2.1646
InN,Y,0.056,v0,In,25,N,In-N,4,2.16495
InN,Y,0.056,v0,In,26,N,In-N,1,2.156228
InN,Y,0.056,v0,In,26,N,In-N,2,2.156228
InN,Y,0.056,v0,In,26,N,In-N,3,2.178665
InN,Y,0.056,v0,In,26,N,In-N,4,2.186618
InN,Y,0.056,v0,In,27,N,In-N,1,2.140475
InN,Y,0.056,v0,In,27,N,In-N,2,2.156616
InN,Y,0.056,v0,In,27,N,In-N,3,2.161893
InN,Y,0.056,v0,In,27,N,In-N,4,2.164095
InN,Y,0.056,v0,In,28,N,In-N,1,2.145304
InN,Y,0.056,v0,In,28,N,In-N,2,2.14538
InN,Y,0.056,v0,In,28,N,In-N,3,2.1673
InN,Y,0.056,v0,In,28,N,In-N,4,2.167593
InN,Y,0.056,v0,In,29,N,In-N,1,2.1616
InN,Y,0.056,v0,In,29,N,In-N,2,2.16311
InN,Y,0.056,v0,In,29,N,In-N,3,2.163124
InN,Y,0.056,v0,In,29,N,In-N,4,2.163124
InN,Y,0.056,v0,In,30,N,In-N,1,2.159949
InN,Y,0.056,v0,In,30,N,In-N,2,2.160434
InN,Y,0.056,v0,In,30,N,In-N,3,2.161097
InN,Y,0.056,v0,In,30,N,In-N,4,2.161247
InN,Y,0.056,v0,In,31,N,In-N,1,2.140474
InN,Y,0.056,v0,In,31,N,In-N,2,2.156618
InN,Y,0.056,v0,In,31,N,In-N,3,2.161894
InN,Y,0.056,v0,In,31,N,In-N,4,2.164095
InN,Y,0.056,v0,In,32,N,In-N,1,2.156629
InN,Y,0.056,v0,In,32,N,In-N,2,2.159655
InN,Y,0.056,v0,In,32,N,In-N,3,2.1646
InN,Y,0.056,v0,In,32,N,In-N,4,2.164949
InN,Y,0.056,v0,In,33,N,In-N,1,2.159948
InN,Y,0.056,v0,In,33,N,In-N,2,2.160434
InN,Y,0.056,v0,In,33,N,In-N,3,2.161096
InN,Y,0.056,v0,In,33,N,In-N,4,2.161247
InN,Y,0.056,v0,In,34,N,In-N,1,2.161586
InN,Y,0.056,v0,In,34,N,In-N,2,2.163789
InN,Y,0.056,v0,In,34,N,In-N,3,2.16379
InN,Y,0.056,v0,In,34,N,In-N,4,2.166177
InN,Y,0.056,v0,Y,35,N,Y-N,1,2.222076
InN,Y,0.056,v0,Y,35,N,Y-N,2,2.222079
InN,Y,0.056,v0,Y,35,N,Y-N,3,2.234767
InN,Y,0.056,v0,Y,35,N,Y-N,4,2.253867
InN,Y,0.056,v0,Y,36,N,Y-N,1,2.223259
InN,Y,0.056,v0,Y,36,N,Y-N,2,2.229656
InN,Y,0.056,v0,Y,36,N,Y-N,3,2.229657
InN,Y,0.056,v0,Y,36,N,Y-N,4,2.252327
InN,Y,0.056,v1,In,1,N,In-N,1,2.141709
InN,Y,0.056,v1,In,1,N,In-N,2,2.149986
InN,Y,0.056,v1,In,1,N,In-N,3,2.166363
InN,Y,0.056,v1,In,1,N,In-N,4,2.17259
InN,Y,0.056,v1,In,2,N,In-N,1,2.158228
InN,Y,0.056,v1,In,2,N,In-N,2,2.158319
InN,Y,0.056,v1,In,2,N,In-N,3,2.165
InN,Y,0.056,v1,In,2,N,In-N,4,2.165331
InN,Y,0.056,v1,In,3,N,In-N,1,2.159782
InN,Y,0.056,v1,In,3,N,In-N,2,2.160103
InN,Y,0.056,v1,In,3,N,In-N,3,2.161163
InN,Y,0.056,v1,In,3,N,In-N,4,2.161542
InN,Y,0.056,v1,In,4,N,In-N,1,2.163779
InN,Y,0.056,v1,In,4,N,In-N,2,2.163784
InN,Y,0.056,v1,In,4,N,In-N,3,2.165092
InN,Y,0.056,v1,In,4,N,In-N,4,2.165707
InN,Y,0.056,v1,In,5,N,In-N,1,2.162534
InN,Y,0.056,v1,In,5,N,In-N,2,2.164859
InN,Y,0.056,v1,In,5,N,In-N,3,2.164937
InN,Y,0.056,v1,In,5,N,In-N,4,2.164939
InN,Y,0.056,v1,In,6,N,In-N,1,2.158447
InN,Y,0.056,v1,In,6,N,In-N,2,2.160774
InN,Y,0.056,v1,In,6,N,In-N,3,2.160867
InN,Y,0.056,v1,In,6,N,In-N,4,2.161154
InN,Y,0.056,v1,In,7,N,In-N,1,2.154372
InN,Y,0.056,v1,In,7,N,In-N,2,2.154975
InN,Y,0.056,v1,In,7,N,In-N,3,2.157304
InN,Y,0.056,v1,In,7,N,In-N,4,2.17454
InN,Y,0.056,v1,In,8,N,In-N,1,2.139506
InN,Y,0.056,v1,In,8,N,In-N,2,2.15903
InN,Y,0.056,v1,In,8,N,In-N,3,2.16073
InN,Y,0.056,v1,In,8,N,In-N,4,2.166046
InN,Y,0.056,v1,In,9,N,In-N,1,2.145539
InN,Y,0.056,v1,In,9,N,In-N,2,2.145853
InN,Y,0.056,v1,In,9,N,In-N,3,2.167185
InN,Y,0.056,v1,In,9,N,In-N,4,2.168002
InN,Y,0.056,v1,In,10,N,In-N,1,2.162166
InN,Y,0.056,v1,In,10,N,In-N,2,2.162367
InN,Y,0.056,v1,In,10,N,In-N,3,2.162377
InN,Y,0.056,v1,In,10,N,In-N,4,2.165692
InN,Y,0.056,v1,In,11,N,In-N,1,2.161254
InN,Y,0.056,v1,In,11,N,In-N,2,2.16126
InN,Y,0.056,v1,In,11,N,In-N,3,2.162681
InN,Y,0.056,v1,In,11,N,In-N,4,2.16905
InN,Y,0.056,v1,In,12,N,In-N,1,2.144795
InN,Y,0.056,v1,In,12,N,In-N,2,2.14489
InN,Y,0.056,v1,In,12,N,In-N,3,2.168369
InN,Y,0.056,v1,In,12,N,In-N,4,2.170246
InN,Y,0.056,v1,In,13,N,In-N,1,2.158229
InN,Y,0.056,v1,In,13,N,In-N,2,2.158318
InN,Y,0.056,v1,In,13,N,In-N,3,2.165002
InN,Y,0.056,v1,In,13,N,In-N,4,2.165332
InN,Y,0.056,v1,In,14,N,In-N,1,2.159781
InN,Y,0.056,v1,In,14,N,In-N,2,2.1601
InN,Y,0.056,v1,In,14,N,In-N,3,2.161172
InN,Y,0.056,v1,In,14,N,In-N,4,2.16154
InN,Y,0.056,v1,In,15,N,In-N,1,2.14464
InN,Y,0.056,v1,In,15,N,In-N,2,2.146204
InN,Y,0.056,v1,In,15,N,In-N,3,2.166283
InN,Y,0.056,v1,In,15,N,In-N,4,2.166757
InN,Y,0.056,v1,In,16,N,In-N,1,2.145355
InN,Y,0.056,v1,In,16,N,In-N,2,2.146963
InN,Y,0.056,v1,In,16,N,In-N,3,2.165261
InN,Y,0.056,v1,In,16,N,In-N,4,2.169136
InN,Y,0.056,v1,In,17,N,In-N,1,2.159427
InN,Y,0.056,v1,In,17,N,In-N,2,2.164268
InN,Y,0.056,v1,In,17,N,In-N,3,2.16641
InN,Y,0.056,v1,In,17,N,In-N,4,2.166413
InN,Y,0.056,v1,In,18,N,In-N,1,2.162605
InN,Y,0.056,v1,In,18,N,In-N,2,2.162606
InN,Y,0.056,v1,In,18,N,In-N,3,2.164578
InN,Y,0.056,v1,In,18,N,In-N,4,2.187173
InN,Y,0.056,v1,In,19,N,In-N,1,2.139505
InN,Y,0.056,v1,In,19,N,In-N,2,2.159027
InN,Y,0.056,v1,In,19,N,In-N,3,2.160729
InN,Y,0.056,v1,In,19,N,In-N,4,2.166056
InN,Y,0.056,v1,In,20,N,In-N,1,2.145534
InN,Y,0.056,v1,In,20,N,In-N,2,2.145854
InN,Y,0.056,v1,In,20,N,In-N,3,2.167184
InN,Y,0.056,v1,In,20,N,In-N,4,2.168007
InN,Y,0.056,v1,In,21,N,In-N,1,2.1565
InN,Y,0.056,v1,In,21,N,In-N,2,2.161145
InN,Y,0.056,v1,In,21,N,In-N,3,2.161944
InN,Y,0.056,v1,In,21,N,In-N,4,2.162128
InN,Y,0.056,v1,In,22,N,In-N,1,2.157621
InN,Y,0.056,v1,In,22,N,In-N,2,2.159313
InN,Y,0.056,v1,In,22,N,In-N,3,2.159333
InN,Y,0.056,v1,In,22,N,In-N,4,2.161986
InN,Y,0.056,v1,In,23,N,In-N,1,2.153511
InN,Y,0.056,v1,In,23,N,In-N,2,2.153514
InN,Y,0.056,v1,In,23,N,In-N,3,2.16154
InN,Y,0.056,v1,In,23,N,In-N,4,2.174966
InN,Y,0.056,v1,In,24,N,In-N,1,2.141711
InN,Y,0.056,v1,In,24,N,In-N,2,2.14998
InN,Y,0.056,v1,In,24,N,In-N,3,2.166359
InN,Y,0.056,v1,In,24,N,In-N,4,2.172589
InN,Y,0.056,v1,In,25,N,In-N,1,2.164281
InN,Y,0.056,v1,In,25,N,In-N,2,2.164964
InN,Y,0.056,v1,In,25,N,In-N,3,2.164969
InN,Y,0.056,v1,In,25,N,In-N,4,2.184956
InN,Y,0.056,v1,In,26,N,In-N,1,2.155409
InN,Y,0.056,v1,In,26,N,In-N,2,2.155413
InN,Y,0.056,v1,In,26,N,In-N,3,2.162418
InN,Y,0.056,v1,In,26,N,In-N,4,2.17599
InN,Y,0.056,v1,In,27,N,In-N,1,2.144631
InN,Y,0.056,v1,In,27,N,In-N,2,2.146205
InN,Y,0.056,v1,In,27,N,In-N,3,2.166285
InN,Y,0.056,v1,In,27,N,In-N,4,2.166752
InN,Y,0.056,v1,In,28,N,In-N,1,2.145354
InN,Y,0.056,v1,In,28,N,In-N,2,2.14696
InN,Y,0.056,v1,In,28,N,In-N,3,2.165256
InN,Y,0.056,v1,In,28,N,In-N,4,2.169131
InN,Y,0.056,v1,In,29,N,In-N,1,2.158459
InN,Y,0.056,v1,In,29,N,In-N,2,2.160769
InN,Y,0.056,v1,In,29,N,In-N,3,2.160859
InN,Y,0.056,v1,In,29,N,In-N,4,2.161156
InN,Y,0.056,v1,In,30,N,In-N,1,2.154374
InN,Y,0.056,v1,In,30,N,In-N,2,2.154976
InN,Y,0.056,v1,In,30,N,In-N,3,2.157307
InN,Y,0.056,v1,In,30,N,In-N,4,2.174543
InN,Y,0.056,v1,In,31,N,In-N,1,2.157083
InN,Y,0.056,v1,In,31,N,In-N,2,2.162621
InN,Y,0.056,v1,In,31,N,In-N,3,2.164755
InN,Y,0.056,v1,In,31,N,In-N,4,2.164765
InN,Y,0.056,v1,In,32,N,In-N,1,2.156508
InN,Y,0.056,v1,In,32,N,In-N,2,2.161145
InN,Y,0.056,v1,In,32,N,In-N,3,2.161939
InN,Y,0.056,v1,In,32,N,In-N,4,2.162118
InN,Y,0.056,v1,In,33,N,In-N,1,2.157625
InN,Y,0.056,v1,In,33,N,In-N,2,2.159313
InN,Y,0.056,v1,In,33,N,In-N,3,2.159328
InN,Y,0.056,v1,In,33,N,In-N,4,2.161991
InN,Y,0.056,v1,In,34,N,In-N,1,2.144802
InN,Y,0.056,v1,In,34,N,In-N,2,2.144881
