base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
Sc,Sc,0.0,v0,Al,21,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,21,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,21,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,22,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,22,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,22,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,22,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,23,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,23,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,23,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,23,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,24,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,24,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,24,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,24,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,25,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,25,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,25,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,25,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,26,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,26,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,26,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,26,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,27,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,27,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,27,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,27,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,28,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,28,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,28,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,28,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,29,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,29,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,29,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,29,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,30,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,30,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,30,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,30,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,31,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,31,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,31,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,31,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,32,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,32,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,32,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,32,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,33,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,33,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,33,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,33,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,34,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,34,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,34,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,34,N,Al-N,4,1.91338
Sc,Sc,0.0,v0,Al,35,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,35,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,35,N,Al-N,3,1.901216
Sc,Sc,0.0,v0,Al,35,N,Al-N,4,1.913381
Sc,Sc,0.0,v0,Al,36,N,Al-N,1,1.901191
Sc,Sc,0.0,v0,Al,36,N,Al-N,2,1.901191
Sc,Sc,0.0,v0,Al,36,N,Al-N,3,1.901217
Sc,Sc,0.0,v0,Al,36,N,Al-N,4,1.91338
Sc,Sc,0.111,v0,Al,1,N,Al-N,1,1.843636
Sc,Sc,0.111,v0,Al,1,N,Al-N,2,1.883913
Sc,Sc,0.111,v0,Al,1,N,Al-N,3,1.895345
Sc,Sc,0.111,v0,Al,1,N,Al-N,4,1.915221
Sc,Sc,0.111,v0,Al,2,N,Al-N,1,1.892648
Sc,Sc,0.111,v0,Al,2,N,Al-N,2,1.899227
Sc,Sc,0.111,v0,Al,2,N,Al-N,3,1.909646
Sc,Sc,0.111,v0,Al,2,N,Al-N,4,1.910888
Sc,Sc,0.111,v0,Al,3,N,Al-N,1,1.891708
Sc,Sc,0.111,v0,Al,3,N,Al-N,2,1.895583
Sc,Sc,0.111,v0,Al,3,N,Al-N,3,1.900827
Sc,Sc,0.111,v0,Al,3,N,Al-N,4,1.90561
Sc,Sc,0.111,v0,Al,4,N,Al-N,1,1.869974
Sc,Sc,0.111,v0,Al,4,N,Al-N,2,1.878437
Sc,Sc,0.111,v0,Al,4,N,Al-N,3,1.916881
Sc,Sc,0.111,v0,Al,4,N,Al-N,4,1.922668
Sc,Sc,0.111,v0,Al,5,N,Al-N,1,1.906878
