base_strc,alloy,x,version,cation,cation_no,angle_label,angle_pair,bond_angle_deg
AlN,B,0.056,v0,Al,14,N-Al-N,2-3,111.2752
AlN,B,0.056,v0,Al,14,N-Al-N,2-4,107.2058
AlN,B,0.056,v0,Al,14,N-Al-N,3-4,109.1995
AlN,B,0.056,v0,Al,15,N-Al-N,1-2,110.1467
AlN,B,0.056,v0,Al,15,N-Al-N,1-3,110.5834
AlN,B,0.056,v0,Al,15,N-Al-N,1-4,107.302
AlN,B,0.056,v0,Al,15,N-Al-N,2-3,108.105
AlN,B,0.056,v0,Al,15,N-Al-N,2-4,110.2706
AlN,B,0.056,v0,Al,15,N-Al-N,3-4,110.4444
AlN,B,0.056,v0,Al,16,N-Al-N,1-2,105.7978
AlN,B,0.056,v0,Al,16,N-Al-N,1-3,110.7076
AlN,B,0.056,v0,Al,16,N-Al-N,1-4,109.4815
AlN,B,0.056,v0,Al,16,N-Al-N,2-3,103.5579
AlN,B,0.056,v0,Al,16,N-Al-N,2-4,110.3763
AlN,B,0.056,v0,Al,16,N-Al-N,3-4,116.2972
AlN,B,0.056,v0,Al,17,N-Al-N,1-2,110.7233
AlN,B,0.056,v0,Al,17,N-Al-N,1-3,110.7194
AlN,B,0.056,v0,Al,17,N-Al-N,1-4,107.571
AlN,B,0.056,v0,Al,17,N-Al-N,2-3,111.2752
AlN,B,0.056,v0,Al,17,N-Al-N,2-4,107.2058
AlN,B,0.056,v0,Al,17,N-Al-N,3-4,109.1995
AlN,B,0.056,v0,Al,18,N-Al-N,1-2,111.3767
AlN,B,0.056,v0,Al,18,N-Al-N,1-3,111.3768
AlN,B,0.056,v0,Al,18,N-Al-N,1-4,107.4273
AlN,B,0.056,v0,Al,18,N-Al-N,2-3,112.8703
AlN,B,0.056,v0,Al,18,N-Al-N,2-4,106.7062
AlN,B,0.056,v0,Al,18,N-Al-N,3-4,106.7062
AlN,B,0.056,v0,Al,19,N-Al-N,1-2,107.7186
AlN,B,0.056,v0,Al,19,N-Al-N,1-3,110.7411
AlN,B,0.056,v0,Al,19,N-Al-N,1-4,109.5244
AlN,B,0.056,v0,Al,19,N-Al-N,2-3,105.6309
AlN,B,0.056,v0,Al,19,N-Al-N,2-4,105.2044
AlN,B,0.056,v0,Al,19,N-Al-N,3-4,117.4035
AlN,B,0.056,v0,Al,20,N-Al-N,1-2,105.7978
AlN,B,0.056,v0,Al,20,N-Al-N,1-3,110.7077
AlN,B,0.056,v0,Al,20,N-Al-N,1-4,109.4816
AlN,B,0.056,v0,Al,20,N-Al-N,2-3,103.5578
AlN,B,0.056,v0,Al,20,N-Al-N,2-4,110.3763
AlN,B,0.056,v0,Al,20,N-Al-N,3-4,116.2972
AlN,B,0.056,v0,Al,21,N-Al-N,1-2,111.5741
AlN,B,0.056,v0,Al,21,N-Al-N,1-3,106.7065
AlN,B,0.056,v0,Al,21,N-Al-N,1-4,109.4135
AlN,B,0.056,v0,Al,21,N-Al-N,2-3,106.7064
AlN,B,0.056,v0,Al,21,N-Al-N,2-4,109.4135
AlN,B,0.056,v0,Al,21,N-Al-N,3-4,113.0137
AlN,B,0.056,v0,Al,22,N-Al-N,1-2,110.1467
AlN,B,0.056,v0,Al,22,N-Al-N,1-3,110.5835
AlN,B,0.056,v0,Al,22,N-Al-N,1-4,107.302
AlN,B,0.056,v0,Al,22,N-Al-N,2-3,108.105
AlN,B,0.056,v0,Al,22,N-Al-N,2-4,110.2706
AlN,B,0.056,v0,Al,22,N-Al-N,3-4,110.4445
AlN,B,0.056,v0,Al,23,N-Al-N,1-2,107.7185
