base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
AlN,La,0.056,v0,Al,22,N,Al-N,3,1.86517
AlN,La,0.056,v0,Al,22,N,Al-N,4,1.889447
AlN,La,0.056,v0,Al,23,N,Al-N,1,1.80927
AlN,La,0.056,v0,Al,23,N,Al-N,2,1.816793
AlN,La,0.056,v0,Al,23,N,Al-N,3,1.873227
AlN,La,0.056,v0,Al,23,N,Al-N,4,1.905534
AlN,La,0.056,v0,Al,24,N,Al-N,1,1.816718
AlN,La,0.056,v0,Al,24,N,Al-N,2,1.8219
AlN,La,0.056,v0,Al,24,N,Al-N,3,1.881381
AlN,La,0.056,v0,Al,24,N,Al-N,4,1.898356
AlN,La,0.056,v0,Al,25,N,Al-N,1,1.813651
AlN,La,0.056,v0,Al,25,N,Al-N,2,1.866378
AlN,La,0.056,v0,Al,25,N,Al-N,3,1.873408
AlN,La,0.056,v0,Al,25,N,Al-N,4,1.885094
AlN,La,0.056,v0,Al,26,N,Al-N,1,1.8871
AlN,La,0.056,v0,Al,26,N,Al-N,2,1.887101
AlN,La,0.056,v0,Al,26,N,Al-N,3,1.93807
AlN,La,0.056,v0,Al,26,N,Al-N,4,1.950227
AlN,La,0.056,v0,Al,26,N,Al-N,5,2.256805
AlN,La,0.056,v0,Al,27,N,Al-N,1,1.812634
AlN,La,0.056,v0,Al,27,N,Al-N,2,1.836428
AlN,La,0.056,v0,Al,27,N,Al-N,3,1.842031
AlN,La,0.056,v0,Al,27,N,Al-N,4,1.87864
AlN,La,0.056,v0,Al,28,N,Al-N,1,1.816717
AlN,La,0.056,v0,Al,28,N,Al-N,2,1.8219
AlN,La,0.056,v0,Al,28,N,Al-N,3,1.881381
AlN,La,0.056,v0,Al,28,N,Al-N,4,1.898354
AlN,La,0.056,v0,Al,29,N,Al-N,1,1.87191
AlN,La,0.056,v0,Al,29,N,Al-N,2,1.87638
AlN,La,0.056,v0,Al,29,N,Al-N,3,1.88722
AlN,La,0.056,v0,Al,29,N,Al-N,4,1.887224
AlN,La,0.056,v0,Al,30,N,Al-N,1,1.84174
AlN,La,0.056,v0,Al,30,N,Al-N,2,1.852631
AlN,La,0.056,v0,Al,30,N,Al-N,3,1.860732
AlN,La,0.056,v0,Al,30,N,Al-N,4,1.861051
AlN,La,0.056,v0,Al,31,N,Al-N,1,1.812636
AlN,La,0.056,v0,Al,31,N,Al-N,2,1.836428
AlN,La,0.056,v0,Al,31,N,Al-N,3,1.842037
AlN,La,0.056,v0,Al,31,N,Al-N,4,1.878638
AlN,La,0.056,v0,Al,32,N,Al-N,1,1.813657
AlN,La,0.056,v0,Al,32,N,Al-N,2,1.866378
AlN,La,0.056,v0,Al,32,N,Al-N,3,1.873408
AlN,La,0.056,v0,Al,32,N,Al-N,4,1.885089
AlN,La,0.056,v0,Al,33,N,Al-N,1,1.841741
AlN,La,0.056,v0,Al,33,N,Al-N,2,1.852628
AlN,La,0.056,v0,Al,33,N,Al-N,3,1.860732
AlN,La,0.056,v0,Al,33,N,Al-N,4,1.861052
AlN,La,0.056,v0,Al,34,N,Al-N,1,1.868474
AlN,La,0.056,v0,Al,34,N,Al-N,2,1.874425
AlN,La,0.056,v0,Al,34,N,Al-N,3,1.874427
AlN,La,0.056,v0,Al,34,N,Al-N,4,1.891599
AlN,La,0.056,v0,La,35,N,La-N,1,2.203982
AlN,La,0.056,v0,La,35,N,La-N,2,2.203993
AlN,La,0.056,v0,La,35,N,La-N,3,2.215634
AlN,La,0.056,v0,La,35,N,La-N,4,2.332925
AlN,La,0.056,v0,La,36,N,La-N,1,2.185792
AlN,La,0.056,v0,La,36,N,La-N,2,2.215975
AlN,La,0.056,v0,La,36,N,La-N,3,2.215978
AlN,La,0.056,v0,La,36,N,La-N,4,2.325609
AlN,La,0.056,v1,Al,1,N,Al-N,1,1.790194
AlN,La,0.056,v1,Al,1,N,Al-N,2,1.831373
AlN,La,0.056,v1,Al,1,N,Al-N,3,1.854342
AlN,La,0.056,v1,Al,1,N,Al-N,4,1.896248
AlN,La,0.056,v1,Al,2,N,Al-N,1,1.828539
AlN,La,0.056,v1,Al,2,N,Al-N,2,1.828669
AlN,La,0.056,v1,Al,2,N,Al-N,3,1.853584
AlN,La,0.056,v1,Al,2,N,Al-N,4,1.89007
AlN,La,0.056,v1,Al,3,N,Al-N,1,1.845758
AlN,La,0.056,v1,Al,3,N,Al-N,2,1.852014
AlN,La,0.056,v1,Al,3,N,Al-N,3,1.86154
AlN,La,0.056,v1,Al,3,N,Al-N,4,1.867599
AlN,La,0.056,v1,Al,4,N,Al-N,1,1.868383
AlN,La,0.056,v1,Al,4,N,Al-N,2,1.868384
AlN,La,0.056,v1,Al,4,N,Al-N,3,1.873631
AlN,La,0.056,v1,Al,4,N,Al-N,4,1.888861
AlN,La,0.056,v1,Al,5,N,Al-N,1,1.869051
AlN,La,0.056,v1,Al,5,N,Al-N,2,1.885607
AlN,La,0.056,v1,Al,5,N,Al-N,3,1.885609
AlN,La,0.056,v1,Al,5,N,Al-N,4,1.898948
AlN,La,0.056,v1,Al,6,N,Al-N,1,1.843088
AlN,La,0.056,v1,Al,6,N,Al-N,2,1.854333
AlN,La,0.056,v1,Al,6,N,Al-N,3,1.865144
AlN,La,0.056,v1,Al,6,N,Al-N,4,1.880465
AlN,La,0.056,v1,Al,7,N,Al-N,1,1.815067
AlN,La,0.056,v1,Al,7,N,Al-N,2,1.860018
AlN,La,0.056,v1,Al,7,N,Al-N,3,1.866581
AlN,La,0.056,v1,Al,7,N,Al-N,4,1.8878
AlN,La,0.056,v1,Al,8,N,Al-N,1,1.808219
AlN,La,0.056,v1,Al,8,N,Al-N,2,1.851318
AlN,La,0.056,v1,Al,8,N,Al-N,3,1.862832
AlN,La,0.056,v1,Al,8,N,Al-N,4,1.871949
AlN,La,0.056,v1,Al,9,N,Al-N,1,1.820747
AlN,La,0.056,v1,Al,9,N,Al-N,2,1.836011
AlN,La,0.056,v1,Al,9,N,Al-N,3,1.895094
AlN,La,0.056,v1,Al,9,N,Al-N,4,1.89696
AlN,La,0.056,v1,Al,10,N,Al-N,1,1.877714
AlN,La,0.056,v1,Al,10,N,Al-N,2,1.880401
AlN,La,0.056,v1,Al,10,N,Al-N,3,1.880402
AlN,La,0.056,v1,Al,10,N,Al-N,4,1.884165
AlN,La,0.056,v1,Al,11,N,Al-N,1,1.85979
AlN,La,0.056,v1,Al,11,N,Al-N,2,1.859791
AlN,La,0.056,v1,Al,11,N,Al-N,3,1.869852
AlN,La,0.056,v1,Al,11,N,Al-N,4,1.903122
AlN,La,0.056,v1,Al,12,N,Al-N,1,1.808629
AlN,La,0.056,v1,Al,12,N,Al-N,2,1.812349
AlN,La,0.056,v1,Al,12,N,Al-N,3,1.878798
AlN,La,0.056,v1,Al,12,N,Al-N,4,1.913612
AlN,La,0.056,v1,Al,13,N,Al-N,1,1.828542
AlN,La,0.056,v1,Al,13,N,Al-N,2,1.828671
AlN,La,0.056,v1,Al,13,N,Al-N,3,1.853583
AlN,La,0.056,v1,Al,13,N,Al-N,4,1.890072
AlN,La,0.056,v1,Al,14,N,Al-N,1,1.845757
AlN,La,0.056,v1,Al,14,N,Al-N,2,1.852014
AlN,La,0.056,v1,Al,14,N,Al-N,3,1.861542
AlN,La,0.056,v1,Al,14,N,Al-N,4,1.867601
AlN,La,0.056,v1,Al,15,N,Al-N,1,1.813352
AlN,La,0.056,v1,Al,15,N,Al-N,2,1.821095
AlN,La,0.056,v1,Al,15,N,Al-N,3,1.87904
AlN,La,0.056,v1,Al,15,N,Al-N,4,1.895075
AlN,La,0.056,v1,Al,16,N,Al-N,1,1.818944
AlN,La,0.056,v1,Al,16,N,Al-N,2,1.830494
AlN,La,0.056,v1,Al,16,N,Al-N,3,1.884515
AlN,La,0.056,v1,Al,16,N,Al-N,4,1.896599
AlN,La,0.056,v1,Al,17,N,Al-N,1,1.834608
AlN,La,0.056,v1,Al,17,N,Al-N,2,1.864911
AlN,La,0.056,v1,Al,17,N,Al-N,3,1.887107
AlN,La,0.056,v1,Al,17,N,Al-N,4,1.887108
AlN,La,0.056,v1,Al,18,N,Al-N,1,1.874672
AlN,La,0.056,v1,Al,18,N,Al-N,2,1.874675
AlN,La,0.056,v1,Al,18,N,Al-N,3,1.885855
