base_strc,alloy,x,version,cation,cation_no,anion,bond_label,bond_index,bond_length_A
InN,La,0.056,v0,In,28,N,In-N,1,2.137005
InN,La,0.056,v0,In,28,N,In-N,2,2.139053
InN,La,0.056,v0,In,28,N,In-N,3,2.174215
InN,La,0.056,v0,In,28,N,In-N,4,2.176132
InN,La,0.056,v0,In,29,N,In-N,1,2.167466
InN,La,0.056,v0,In,29,N,In-N,2,2.167783
InN,La,0.056,v0,In,29,N,In-N,3,2.172501
InN,La,0.056,v0,In,29,N,In-N,4,2.172502
InN,La,0.056,v0,In,30,N,In-N,1,2.160977
InN,La,0.056,v0,In,30,N,In-N,2,2.160992
InN,La,0.056,v0,In,30,N,In-N,3,2.164028
InN,La,0.056,v0,In,30,N,In-N,4,2.165753
InN,La,0.056,v0,In,31,N,In-N,1,2.131401
InN,La,0.056,v0,In,31,N,In-N,2,2.150364
InN,La,0.056,v0,In,31,N,In-N,3,2.158538
InN,La,0.056,v0,In,31,N,In-N,4,2.168338
InN,La,0.056,v0,In,32,N,In-N,1,2.148202
InN,La,0.056,v0,In,32,N,In-N,2,2.15833
InN,La,0.056,v0,In,32,N,In-N,3,2.171832
InN,La,0.056,v0,In,32,N,In-N,4,2.172929
InN,La,0.056,v0,In,33,N,In-N,1,2.160977
InN,La,0.056,v0,In,33,N,In-N,2,2.160992
InN,La,0.056,v0,In,33,N,In-N,3,2.164027
InN,La,0.056,v0,In,33,N,In-N,4,2.165752
InN,La,0.056,v0,In,34,N,In-N,1,2.161806
InN,La,0.056,v0,In,34,N,In-N,2,2.170829
InN,La,0.056,v0,In,34,N,In-N,3,2.170831
InN,La,0.056,v0,In,34,N,In-N,4,2.177531
InN,La,0.056,v0,La,35,N,La-N,1,2.320544
InN,La,0.056,v0,La,35,N,La-N,2,2.320544
InN,La,0.056,v0,La,35,N,La-N,3,2.339508
InN,La,0.056,v0,La,35,N,La-N,4,2.394189
InN,La,0.056,v0,La,36,N,La-N,1,2.313338
InN,La,0.056,v0,La,36,N,La-N,2,2.334442
InN,La,0.056,v0,La,36,N,La-N,3,2.334443
InN,La,0.056,v0,La,36,N,La-N,4,2.382785
InN,La,0.056,v1,In,1,N,In-N,1,2.122869
InN,La,0.056,v1,In,1,N,In-N,2,2.144966
InN,La,0.056,v1,In,1,N,In-N,3,2.167744
InN,La,0.056,v1,In,1,N,In-N,4,2.184347
InN,La,0.056,v1,In,2,N,In-N,1,2.152939
InN,La,0.056,v1,In,2,N,In-N,2,2.153056
InN,La,0.056,v1,In,2,N,In-N,3,2.170259
InN,La,0.056,v1,In,2,N,In-N,4,2.174327
InN,La,0.056,v1,In,3,N,In-N,1,2.161547
InN,La,0.056,v1,In,3,N,In-N,2,2.161748
InN,La,0.056,v1,In,3,N,In-N,3,2.162615
InN,La,0.056,v1,In,3,N,In-N,4,2.16603
InN,La,0.056,v1,In,4,N,In-N,1,2.169916
InN,La,0.056,v1,In,4,N,In-N,2,2.169925
InN,La,0.056,v1,In,4,N,In-N,3,2.172119
InN,La,0.056,v1,In,4,N,In-N,4,2.173032
InN,La,0.056,v1,In,5,N,In-N,1,2.164609
InN,La,0.056,v1,In,5,N,In-N,2,2.174799
InN,La,0.056,v1,In,5,N,In-N,3,2.174805
InN,La,0.056,v1,In,5,N,In-N,4,2.175266
InN,La,0.056,v1,In,6,N,In-N,1,2.155664
InN,La,0.056,v1,In,6,N,In-N,2,2.165506
InN,La,0.056,v1,In,6,N,In-N,3,2.166238
InN,La,0.056,v1,In,6,N,In-N,4,2.167068
InN,La,0.056,v1,In,7,N,In-N,1,2.147076
InN,La,0.056,v1,In,7,N,In-N,2,2.156906
InN,La,0.056,v1,In,7,N,In-N,3,2.157148
InN,La,0.056,v1,In,7,N,In-N,4,2.185278
InN,La,0.056,v1,In,8,N,In-N,1,2.129075
InN,La,0.056,v1,In,8,N,In-N,2,2.158415
InN,La,0.056,v1,In,8,N,In-N,3,2.16441
InN,La,0.056,v1,In,8,N,In-N,4,2.164488
InN,La,0.056,v1,In,9,N,In-N,1,2.139357
InN,La,0.056,v1,In,9,N,In-N,2,2.139838
InN,La,0.056,v1,In,9,N,In-N,3,2.174262
InN,La,0.056,v1,In,9,N,In-N,4,2.178047
InN,La,0.056,v1,In,10,N,In-N,1,2.16862
InN,La,0.056,v1,In,10,N,In-N,2,2.16943
InN,La,0.056,v1,In,10,N,In-N,3,2.169441
InN,La,0.056,v1,In,10,N,In-N,4,2.170831
InN,La,0.056,v1,In,11,N,In-N,1,2.164659
InN,La,0.056,v1,In,11,N,In-N,2,2.164663
InN,La,0.056,v1,In,11,N,In-N,3,2.168313
InN,La,0.056,v1,In,11,N,In-N,4,2.178616
InN,La,0.056,v1,In,12,N,In-N,1,2.135209
InN,La,0.056,v1,In,12,N,In-N,2,2.136006
