#pol(uC/cm^2) barrier(meV/A^3)
1.2544  0.000
4.0573  0.457
11.8402  1.677
18.9898  1.278
23.4565  1.375
30.4330  2.549
38.6956  1.930
41.9491  1.598
43.9990  1.795
47.1666  1.760
48.4315  1.697
51.2589  1.751
54.1456  1.492
56.0690  1.532
59.0565  1.756
61.5981  1.692
63.1064  1.785
66.2484  1.768
68.1996  1.578
71.3048  1.945
79.5648  2.545
86.4863  1.365
90.9878  1.290
98.2195  1.669
105.9814  0.432
108.6532 -0.000
