base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
GaN,B,0.056,v3,Ga,20,4,94.44
GaN,B,0.056,v3,Ga,21,4,94.44
GaN,B,0.056,v3,Ga,22,4,94.44
GaN,B,0.056,v3,Ga,23,4,94.44
GaN,B,0.056,v3,Ga,24,4,94.44
GaN,B,0.056,v3,Ga,25,4,94.44
GaN,B,0.056,v3,Ga,26,4,94.44
GaN,B,0.056,v3,Ga,27,4,94.44
GaN,B,0.056,v3,Ga,28,4,94.44
GaN,B,0.056,v3,Ga,29,4,94.44
GaN,B,0.056,v3,Ga,30,4,94.44
GaN,B,0.056,v3,Ga,31,4,94.44
GaN,B,0.056,v3,Ga,32,4,94.44
GaN,B,0.056,v3,Ga,33,4,94.44
GaN,B,0.056,v3,Ga,34,4,94.44
GaN,B,0.056,v3,B,35,4,5.56
GaN,B,0.056,v3,B,36,4,5.56
GaN,B,0.111,v0,B,1,4,8.33
GaN,B,0.111,v0,B,2,3,2.78
GaN,B,0.111,v0,B,3,4,8.33
GaN,B,0.111,v0,B,4,4,8.33
GaN,B,0.111,v0,Ga,5,4,88.89
GaN,B,0.111,v0,Ga,6,4,88.89
GaN,B,0.111,v0,Ga,7,4,88.89
GaN,B,0.111,v0,Ga,8,4,88.89
GaN,B,0.111,v0,Ga,9,4,88.89
GaN,B,0.111,v0,Ga,10,4,88.89
GaN,B,0.111,v0,Ga,11,4,88.89
GaN,B,0.111,v0,Ga,12,4,88.89
GaN,B,0.111,v0,Ga,13,4,88.89
GaN,B,0.111,v0,Ga,14,4,88.89
GaN,B,0.111,v0,Ga,15,4,88.89
GaN,B,0.111,v0,Ga,16,4,88.89
GaN,B,0.111,v0,Ga,17,4,88.89
GaN,B,0.111,v0,Ga,18,4,88.89
GaN,B,0.111,v0,Ga,19,4,88.89
GaN,B,0.111,v0,Ga,20,4,88.89
GaN,B,0.111,v0,Ga,21,4,88.89
GaN,B,0.111,v0,Ga,22,4,88.89
GaN,B,0.111,v0,Ga,23,4,88.89
GaN,B,0.111,v0,Ga,24,4,88.89
GaN,B,0.111,v0,Ga,25,4,88.89
GaN,B,0.111,v0,Ga,26,4,88.89
GaN,B,0.111,v0,Ga,27,4,88.89
GaN,B,0.111,v0,Ga,28,4,88.89
GaN,B,0.111,v0,Ga,29,4,88.89
GaN,B,0.111,v0,Ga,30,4,88.89
