#pol(uC/cm^2) barrier(meV/A^3) 
56.1530  0.000
56.2617  0.008
62.5898  0.561
87.6119  5.323
129.0672 10.175
189.0481 10.791
249.0061 10.174
290.4546  5.321
315.4203  0.564
321.7866  0.008
321.9011  0.000
